"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.539635158E1,5.322937275E1,1.040222878E1,3.532929224E1,1.332117722E0,2.674922735E2,4.965440081E0,4.965440081E0
5.639632356E1,5.322937367E1,1.040221285E1,3.521768678E1,1.146306880E0,2.712965285E2,4.965542441E0,4.965542441E0
5.739629626E1,5.322937585E1,1.040219369E1,3.495004821E1,1.109428220E0,2.758162559E2,4.968309925E0,4.968309925E0
5.839626908E1,5.322937938E1,1.040217151E1,3.492853675E1,1.122424891E0,2.808384031E2,4.972177126E0,4.972177126E0
5.939624119E1,5.322938152E1,1.040214746E1,3.525033517E1,1.174606181E0,2.802326126E2,4.969955655E0,4.969955655E0
6.039621449E1,5.322938356E1,1.040212080E1,3.565952413E1,1.197284458E0,2.761209230E2,4.966542990E0,4.966542990E0
6.139618635E1,5.322938700E1,1.040209545E1,3.555035167E1,1.255800211E0,2.740191883E2,4.961283924E0,4.961283924E0
6.239615881E1,5.322938945E1,1.040207363E1,3.532389949E1,1.233120302E0,2.740273828E2,4.968332703E0,4.968332703E0
6.339613187E1,5.322939062E1,1.040205416E1,3.476640517E1,1.118409481E0,2.705172356E2,4.976792870E0,4.976792870E0
6.439610445E1,5.322939065E1,1.040203749E1,3.433852107E1,9.688611796E-1,2.657512283E2,4.989537877E0,4.989537877E0
6.539607656E1,5.322939280E1,1.040201565E1,3.411257681E1,1.100393921E0,2.662509546E2,4.980736515E0,4.980736515E0
6.639604986E1,5.322940419E1,1.040199577E1,3.464121599E1,1.116363593E0,2.822216492E2,4.985502090E0,4.985502090E0
6.739602220E1,5.322940441E1,1.040197619E1,3.447295872E1,1.094571615E0,2.784423963E2,4.992509164E0,4.992509164E0
6.839599502E1,5.322940957E1,1.040195629E1,3.447698047E1,1.063077598E0,2.796875287E2,4.998670054E0,4.998670054E0
6.939596689E1,5.322941567E1,1.040193847E1,3.469539309E1,9.976157873E-1,2.872311166E2,4.994702818E0,4.994702818E0
7.039593959E1,5.322942186E1,1.040191706E1,3.481785577E1,1.034409001E0,2.902267868E2,4.993804663E0,4.993804663E0
7.139591217E1,5.322942289E1,1.040189031E1,3.474363473E1,1.102492980E0,2.856525400E2,4.989325473E0,4.989325473E0
7.239588511E1,5.322941847E1,1.040186482E1,3.461038170E1,1.065336050E0,2.768219813E2,4.977689582E0,4.977689582E0
7.339585781E1,5.322941058E1,1.040184190E1,3.476533662E1,1.014144008E0,2.639281640E2,4.971770553E0,4.971770553E0
7.439583051E1,5.322940534E1,1.040181769E1,3.517107281E1,1.027537661E0,2.645714222E2,4.949137493E0,4.949137493E0
7.539580274E1,5.322939941E1,1.040179344E1,3.517529836E1,1.061684389E0,2.613435920E2,4.939502925E0,4.939502925E0
7.639577568E1,5.322939508E1,1.040177128E1,3.510199400E1,9.934098932E-1,2.612088613E2,4.920681740E0,4.920681740E0
7.739574850E1,5.322939437E1,1.040175404E1,3.522315353E1,9.596509529E-1,2.666126119E2,4.921245090E0,4.921245090E0
7.839572108E1,5.322939448E1,1.040173118E1,3.509599132E1,1.070528836E0,2.682588256E2,4.914723680E0,4.914723680E0
7.939569306E1,5.322939483E1,1.040170595E1,3.504063296E1,1.192036919E0,2.696060332E2,4.898361696E0,4.898361696E0
8.039566576E1,5.322939387E1,1.040168266E1,3.523019976E1,1.273212871E0,2.699634200E2,4.889051693E0,4.889051693E0
8.139563859E1,5.322939321E1,1.040165750E1,3.509625312E1,1.438748038E0,2.691633614E2,4.890258472E0,4.890258472E0
8.239561081E1,5.322939064E1,1.040163930E1,3.567467911E1,1.310338310E0,2.688704582E2,4.889661696E0,4.889661696E0
8.339558423E1,5.322939172E1,1.040160881E1,3.533731093E1,1.476357425E0,2.737612397E2,4.887458861E0,4.887458861E0
8.439555597E1,5.322938779E1,1.040158922E1,3.520721710E1,1.410029807E0,2.707992058E2,4.883864293E0,4.883864293E0
8.539552891E1,5.322938651E1,1.040156471E1,3.511164762E1,1.425619932E0,2.701700878E2,4.890348058E0,4.890348058E0
8.639550149E1,5.322938461E1,1.040154422E1,3.532973590E1,1.316454255E0,2.701834201E2,4.890694523E0,4.890694523E0
8.739547408E1,5.322938614E1,1.040152394E1,3.559088846E1,1.206185963E0,2.736626222E2,4.890229631E0,4.890229631E0
8.839544654E1,5.322938377E1,1.040150115E1,3.554606001E1,1.204497978E0,2.685072400E2,4.895390800E0,4.895390800E0
8.939541972E1,5.322938274E1,1.040148100E1,3.598421510E1,1.187698442E0,2.675399920E2,4.898446229E0,4.898446229E0
9.039539230E1,5.322938302E1,1.040146634E1,3.555866642E1,9.500722041E-1,2.697043884E2,4.899737371E0,4.899737371E0
9.139536488E1,5.322938440E1,1.040144595E1,3.531055596E1,1.042361764E0,2.726705460E2,4.901704895E0,4.901704895E0
9.239533722E1,5.322938710E1,1.040141879E1,3.488656358E1,1.287249368E0,2.735790422E2,4.904870306E0,4.904870306E0
9.339530969E1,5.322938941E1,1.040139688E1,3.518547799E1,1.238482957E0,2.701647281E2,4.910773387E0,4.910773387E0
9.439528263E1,5.322939078E1,1.040137817E1,3.467961639E1,1.207758466E0,2.709490041E2,4.914581163E0,4.914581163E0
9.539525461E1,5.322939747E1,1.040135011E1,3.505344318E1,1.404095509E0,2.767976735E2,4.921704080E0,4.921704080E0
9.639522696E1,5.322940001E1,1.040132900E1,3.466605862E1,1.422807759E0,2.758758916E2,4.939505597E0,4.939505597E0
9.739520025E1,5.322941034E1,1.040130319E1,3.494779436E1,1.442637861E0,2.837683119E2,4.948478962E0,4.948478962E0
9.839517295E1,5.322941101E1,1.040127393E1,3.486591617E1,1.515566034E0,2.785708062E2,4.953537205E0,4.953537205E0
9.939514565E1,5.322940896E1,1.040125498E1,3.561341751E1,1.352172121E0,2.750352796E2,4.952539123E0,4.952539123E0
1.003951181E2,5.322941377E1,1.040123787E1,3.524551738E1,1.050253455E0,2.817972321E2,4.950245941E0,4.950245941E0
1.013950908E2,5.322941132E1,1.040121269E1,3.524962742E1,1.071425694E0,2.710802196E2,4.939117580E0,4.939117580E0
1.023950627E2,5.322941499E1,1.040118809E1,3.512902949E1,1.108274938E0,2.704158289E2,4.936465976E0,4.936465976E0
1.033950351E2,5.322941807E1,1.040116657E1,3.520079504E1,1.202594366E0,2.732454824E2,4.933694521E0,4.933694521E0
1.043950077E2,5.322941940E1,1.040114387E1,3.511852064E1,1.214866060E0,2.720457912E2,4.939362000E0,4.939362000E0
1.053949811E2,5.322942639E1,1.040112602E1,3.576482520E1,1.173722552E0,2.798559563E2,4.938268491E0,4.938268491E0
1.063949536E2,5.322942536E1,1.040110812E1,3.557073070E1,1.101804325E0,2.773200826E2,4.956212657E0,4.956212657E0
1.073949257E2,5.322942364E1,1.040109747E1,3.611963668E1,8.552894403E-1,2.712625503E2,4.980123136E0,4.980123136E0
1.083948983E2,5.322942572E1,1.040107997E1,3.643556662E1,8.851611381E-1,2.758902564E2,4.989584739E0,4.989584739E0
1.093948710E2,5.322942591E1,1.040106024E1,3.555273154E1,9.484271865E-1,2.768075476E2,5.004303705E0,5.004303705E0
1.103948433E2,5.322942101E1,1.040104169E1,3.529909979E1,9.694009273E-1,2.696514432E2,5.013439520E0,5.013439520E0
1.113948162E2,5.322941989E1,1.040101862E1,3.508183028E1,1.116069217E0,2.703651215E2,5.014107481E0,5.014107481E0
1.123947886E2,5.322942210E1,1.040099441E1,3.495777814E1,1.253346212E0,2.741862405E2,5.029158746E0,5.029158746E0
1.133947610E2,5.322941269E1,1.040097253E1,3.483974289E1,1.162570500E0,2.627638155E2,5.037005975E0,5.037005975E0
1.143947335E2,5.322941176E1,1.040095843E1,3.519098613E1,8.558664836E-1,2.659232030E2,5.043630679E0,5.043630679E0
1.153947067E2,5.322941168E1,1.040093103E1,3.499238960E1,9.708978444E-1,2.719905833E2,5.049970417E0,5.049970417E0
1.163946788E2,5.322941443E1,1.040091750E1,3.516983805E1,6.564880828E-1,2.757267891E2,5.061230973E0,5.061230973E0
1.173946513E2,5.322941030E1,1.040088967E1,3.525791471E1,9.417223933E-1,2.702221253E2,5.057292157E0,5.057292157E0
1.183946244E2,5.322941252E1,1.040086966E1,3.531449755E1,9.363681929E-1,2.774890239E2,5.061810776E0,5.061810776E0
1.193945968E2,5.322940634E1,1.040084392E1,3.502921610E1,1.060777379E0,2.710556293E2,5.066211796E0,5.066211796E0
1.203945692E2,5.322940308E1,1.040082231E1,3.587833885E1,1.070805784E0,2.683591482E2,5.062590596E0,5.062590596E0
1.213945423E2,5.322939879E1,1.040080078E1,3.589150904E1,9.604078803E-1,2.662010495E2,5.068721884E0,5.068721884E0
1.223945143E2,5.322939687E1,1.040077984E1,3.595140986E1,8.975946005E-1,2.700069687E2,5.070734084E0,5.070734084E0
1.233944869E2,5.322939425E1,1.040075932E1,3.521399713E1,9.201522471E-1,2.698416420E2,5.071877584E0,5.071877584E0
1.243944598E2,5.322939011E1,1.040073465E1,3.516788393E1,9.664967760E-1,2.654930614E2,5.071589078E0,5.071589078E0
1.253944328E2,5.322938457E1,1.040071144E1,3.457480222E1,9.398763100E-1,2.647432545E2,5.056072328E0,5.056072328E0
1.263944051E2,5.322938270E1,1.040068923E1,3.519377274E1,9.624764943E-1,2.668168673E2,5.038434898E0,5.038434898E0
1.273943777E2,5.322937729E1,1.040066985E1,3.514391761E1,9.113417611E-1,2.638208098E2,5.017837251E0,5.017837251E0
1.283943503E2,5.322937709E1,1.040064894E1,3.562953942E1,1.027084712E0,2.620776591E2,4.993960905E0,4.993960905E0
1.293943224E2,5.322937482E1,1.040062731E1,3.569562853E1,1.031685271E0,2.633777587E2,4.963404352E0,4.963404352E0
1.303942957E2,5.322937111E1,1.040060802E1,3.541039715E1,9.322608224E-1,2.622770258E2,4.947576461E0,4.947576461E0
1.313942683E2,5.322936902E1,1.040058165E1,3.540870070E1,1.158414457E0,2.616413987E2,4.941291356E0,4.941291356E0
1.323942412E2,5.322936810E1,1.040055807E1,3.486885863E1,1.068578619E0,2.630130647E2,4.943815486E0,4.943815486E0
1.333935074E2,5.322936872E1,1.040053254E1,3.499077356E1,1.033576072E0,2.685822995E2,4.949666239E0,4.949666239E0
1.343931437E2,5.322936426E1,1.040050528E1,3.558256773E1,1.120443306E0,2.612331986E2,4.947446178E0,4.947446178E0
1.353931167E2,5.322936857E1,1.040048510E1,3.564522201E1,9.477034510E-1,2.703749822E2,4.940163110E0,4.940163110E0
1.363935044E2,5.322936862E1,1.040046209E1,3.585915029E1,9.576853109E-1,2.711288441E2,4.929626185E0,4.929626185E0
1.373935878E2,5.322936944E1,1.040043409E1,3.548655383E1,1.225366860E0,2.701907513E2,4.921419004E0,4.921419004E0
1.383935604E2,5.322936676E1,1.040041169E1,3.550158960E1,1.228086714E0,2.670985087E2,4.915839975E0,4.915839975E0
1.393930087E2,5.322937267E1,1.040038891E1,3.573144653E1,1.203897996E0,2.748334316E2,4.917857091E0,4.917857091E0
1.403929363E2,5.322937058E1,1.040037330E1,3.524087996E1,1.020940856E0,2.706694317E2,4.916634190E0,4.916634190E0
1.413929087E2,5.322937050E1,1.040035296E1,3.564686476E1,1.042467660E0,2.708785662E2,4.912906977E0,4.912906977E0
1.423934892E2,5.322936844E1,1.040033139E1,3.550029133E1,1.106547380E0,2.675556705E2,4.899160078E0,4.899160078E0
1.433934300E2,5.322937211E1,1.040030676E1,3.493328796E1,1.267876090E0,2.735776182E2,4.906815306E0,4.906815306E0
1.443934025E2,5.322936872E1,1.040028406E1,3.506487294E1,1.371456182E0,2.699300476E2,4.916944035E0,4.916944035E0
1.453929945E2,5.322936672E1,1.040025458E1,3.544625271E1,1.540038141E0,2.665190619E2,4.922249655E0,4.922249655E0
1.463928995E2,5.322936662E1,1.040023560E1,3.476897863E1,1.249046181E0,2.707025770E2,4.913121938E0,4.913121938E0
1.473928721E2,5.322936617E1,1.040022051E1,3.479875715E1,1.067293127E0,2.687908671E2,4.912617712E0,4.912617712E0
1.483928446E2,5.322936385E1,1.040019867E1,3.496265445E1,1.037906229E0,2.636748068E2,4.916004979E0,4.916004979E0
1.493928176E2,5.322936133E1,1.040017386E1,3.492715859E1,1.277469658E0,2.616366496E2,4.922718690E0,4.922718690E0
