"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.930669403E1,5.322603971E1,1.039400809E1,2.751253553E1,1.428189565E1,3.597848816E2,1.093541355E1,1.093541355E1
6.030670047E1,5.322616996E1,1.039400339E1,2.755287579E1,1.385674432E1,3.596387634E2,1.119905181E1,1.119905181E1
6.130670738E1,5.322629403E1,1.039400041E1,2.821064004E1,1.343329406E1,3.596387634E2,1.174798388E1,1.174798388E1
6.230671418E1,5.322641648E1,1.039399711E1,2.875363636E1,1.357863401E1,3.592383118E2,1.251631591E1,1.251631591E1
6.330672133E1,5.322653089E1,1.039399335E1,2.968590880E1,1.369709015E1,3.592383118E2,1.327687537E1,1.327687537E1
6.430672884E1,5.322665655E1,1.039399065E1,2.994919800E1,1.387617292E1,3.595807800E2,1.380126231E1,1.380126231E1
6.530673516E1,5.322679405E1,1.039398897E1,3.053706554E1,1.405543255E1,3.594632263E2,1.427187451E1,1.427187451E1
6.630674243E1,5.322690516E1,1.039398884E1,3.093359458E1,1.391283082E1,7.607000470E-1,1.442876328E1,1.442876328E1
6.730674970E1,5.322702595E1,1.039399895E1,3.129679488E1,1.410762667E1,1.007551908E0,1.467595970E1,1.467595970E1
6.830675590E1,5.322717507E1,1.039401223E1,3.161796776E1,1.463267058E1,6.130407333E0,1.492454263E1,1.492454263E1
6.930676281E1,5.322729999E1,1.039405132E1,3.215827468E1,1.475924125E1,9.589782715E0,1.482295241E1,1.482295241E1
7.030677021E1,5.322743587E1,1.039409308E1,3.251488185E1,1.477798238E1,1.043278122E1,1.475799186E1,1.475799186E1
7.130677664E1,5.322756661E1,1.039413817E1,3.273866528E1,1.478099754E1,1.307476997E1,1.497372745E1,1.497372745E1
7.230678368E1,5.322769593E1,1.039418941E1,3.293163377E1,1.480739861E1,1.307476997E1,1.536014005E1,1.536014005E1
7.330679119E1,5.322783689E1,1.039424440E1,3.298220506E1,1.505141399E1,1.360270309E1,1.573009630E1,1.573009630E1
